lineage,label
BA.2.3.15,Omicron
BA.2.3.17,Omicron
BA.2.3.18,Omicron
BA.2.3.20,Omicron
BA.2.3.22,Omicron
BA.2.3.4,Omicron
BA.2.3.5,Omicron
BA.2.3.6,Omicron
BA.2.3.7,Omicron
BA.2.3.9,Omicron
BA.2.30,Omicron
BA.2.31,Omicron
BA.2.31.1,Omicron
BA.2.32,Omicron
BA.2.35,Omicron
BA.2.37,Omicron
BA.2.38,Omicron
BA.2.38.1,Omicron
BA.2.38.2,Omicron
BA.2.39,Omicron
BA.2.4,Omicron
BA.2.40.1,Omicron
BA.2.41,Omicron
BA.2.42,Omicron
BA.2.43,Omicron
BA.2.44,Omicron
BA.2.45,Omicron
BA.2.46,Omicron
BA.2.47,Omicron
BA.2.48,Omicron
BA.2.49,Omicron
BA.2.50,Omicron
BA.2.52,Omicron
BA.2.53,Omicron
BA.2.54,Omicron
BA.2.55,Omicron
BA.2.59,Omicron
BA.2.6,Omicron
BA.2.60,Omicron
BA.2.61,Omicron
BA.2.63,Omicron
BA.2.64,Omicron
BA.2.66,Omicron
BA.2.67,Omicron
BA.2.68,Omicron
BA.2.7,Omicron
BA.2.70,Omicron
BA.2.72,Omicron
BA.2.73,Omicron
BA.2.74,Omicron
BA.2.75.2,Omicron
BA.2.76,Omicron
BA.2.77,Omicron
BA.2.79,Omicron
BA.2.8,Omicron
BA.2.80,Omicron
BA.2.81,Omicron
BA.2.82,Omicron
BA.2.85,Omicron
BA.2.86.1,Omicron
BA.2.86.2,Omicron
BA.2.86.3,Omicron
BA.2.86.4,Omicron
BA.2.86.5,Omicron
BA.2.9,Omicron
BA.2.9.1,Omicron
BA.2.9.2,Omicron
BA.2.9.3,Omicron
BA.2.9.4,Omicron
BA.2.9.6,Omicron
BA.2.9.7,Omicron
BA.3,Omicron
BA.3.1,Omicron
BA.4,Omicron
BA.4.1,Omicron
BA.4.1.10,Omicron
BA.4.1.11,Omicron
BA.4.1.2,Omicron
BA.4.1.3,Omicron
BA.4.1.4,Omicron
BA.4.1.5,Omicron
BA.4.1.6,Omicron
BA.4.1.8,Omicron
